Score Increase,Percentile Increase,Starting Score,Starting Percentile,Realized Potential
90,16,1050,49,0.31373
110,10,1280,84,0.625
230,35,1060,51,0.71429
60,11,1080,54,0.23913
50,9,1030,45,0.16364
160,6,1380,93,0.85714
210,22,1180,72,0.78571
150,16,1210,76,0.66667
140,20,1120,62,0.52632
60,7,1250,81,0.36842
110,7,1330,89,0.63636
230,22,1200,74,0.84615
220,20,1210,76,0.83333
310,49,1000,39,0.80328
70,13,1020,43,0.22807
50,8,1120,62,0.21053
220,21,1200,74,0.80769
110,8,1290,86,0.57143
170,28,1070,52,0.58333
140,7,1360,92,0.875
50,9,1040,47,0.16981
80,12,1140,65,0.34286
140,18,1170,70,0.6
100,13,1200,74,0.5
70,5,1310,88,0.41667
30,3,1230,79,0.14286
140,13,1240,80,0.65
150,10,1300,87,0.76923
120,23,990,37,0.36508
100,18,1080,54,0.3913
160,15,1230,79,0.71429
140,13,1250,81,0.68421
130,15,1190,73,0.55556
140,9,1320,88,0.75
250,19,1230,79,0.90476
130,8,1310,88,0.66667
110,14,1170,70,0.46667
140,18,1170,70,0.6
410,41,1100,58,0.97619
100,14,1150,67,0.42424
180,14,1270,83,0.82353
200,24,1150,67,0.72727
110,17,1120,62,0.44737
110,21,1000,39,0.34426
80,15,1030,45,0.27273
110,10,1270,83,0.58824
100,13,1200,74,0.5
130,16,1180,72,0.57143
280,22,1210,76,0.91667
70,12,1060,51,0.2449
200,35,1010,41,0.59322
90,13,1160,68,0.40625
120,13,1210,76,0.54167
110,15,1160,68,0.46875
140,23,1090,56,0.52273
300,45,1020,43,0.78947
70,8,1240,80,0.4
220,34,1050,49,0.66667
150,27,1020,43,0.47368
250,42,1000,39,0.68852
280,38,1080,54,0.82609
40,7,1050,49,0.13725
130,14,1220,77,0.6087
110,10,1280,84,0.625
80,13,1130,63,0.35135
180,33,1000,39,0.54098
140,24,1050,49,0.47059
90,11,1180,72,0.39286
130,20,1110,60,0.5
270,24,1200,74,0.92308
350,36,1120,62,0.94737
180,33,990,37,0.52381
100,13,1200,74,0.5
270,11,1310,88,0.91667
110,15,1150,67,0.45455
340,58,890,21,0.73418
150,24,1090,56,0.54545
250,21,1220,77,0.91304
200,30,1090,56,0.68182
110,12,1210,76,0.5
70,8,1240,80,0.4
170,21,1160,68,0.65625
220,33,1080,54,0.71739
30,6,1010,41,0.10169
80,8,1280,84,0.5
220,38,1010,41,0.64407
160,23,1130,63,0.62162
200,31,1060,51,0.63265
70,11,1140,65,0.31429
240,16,1270,83,0.94118
40,5,1260,82,0.27778
170,21,1150,67,0.63636
90,11,1190,73,0.40741
170,24,1120,62,0.63158
180,22,1150,67,0.66667
80,12,1160,68,0.375
330,51,990,37,0.80952
200,26,1130,63,0.7027
110,21,1010,41,0.35593
200,35,1000,39,0.57377
50,9,1020,43,0.15789
70,5,1300,87,0.38462
150,25,1080,54,0.54348
170,21,1160,68,0.65625
290,27,1170,70,0.9
100,19,1000,39,0.31148
110,12,1210,76,0.5
140,20,1120,62,0.52632
70,11,1140,65,0.31429
10,1,1180,72,0.035714
50,7,1150,67,0.21212
120,11,1250,81,0.57895
320,32,1140,65,0.91429
80,14,1080,54,0.30435
150,12,1270,83,0.70588
90,15,1100,58,0.35714
60,7,1210,76,0.29167
100,18,970,34,0.27273
180,17,1220,77,0.73913
140,9,1300,87,0.69231
90,9,1250,81,0.47368
140,26,960,32,0.38235
130,19,1120,62,0.5
140,19,1140,65,0.54286
90,11,1220,77,0.47826
120,20,890,21,0.25316
110,14,1170,70,0.46667
130,12,1260,82,0.66667
90,16,1050,49,0.31373
170,24,1130,63,0.64865
190,18,1210,76,0.75
190,18,1210,76,0.75
140,26,970,34,0.39394
210,32,1070,52,0.66667
180,29,1060,51,0.59184
180,32,920,26,0.43243
140,21,1110,60,0.525
170,19,1180,72,0.67857
220,28,1120,62,0.73684
210,24,1160,68,0.75
130,12,1260,82,0.66667
120,22,940,29,0.30986
170,17,1210,76,0.70833
210,37,1000,39,0.60656
110,18,1090,56,0.40909
240,34,1080,54,0.73913
120,22,980,36,0.34375
90,16,1070,52,0.33333
150,9,1330,89,0.81818
110,12,1210,76,0.5
190,23,1160,68,0.71875
210,37,900,23,0.48052
500,56,1020,43,0.98246
160,5,1390,94,0.83333
160,6,1380,93,0.85714
110,19,1060,51,0.38776
230,41,940,29,0.57746
120,15,1190,73,0.55556
90,9,1250,81,0.47368
160,29,950,31,0.42029
100,7,1320,88,0.58333
200,11,1320,88,0.91667
250,44,910,24,0.57895
110,7,1340,90,0.7
100,16,1110,60,0.4
130,21,1090,56,0.47727
160,16,1220,77,0.69565
120,13,1210,76,0.54167
230,16,1270,83,0.94118
130,14,1210,76,0.58333
150,21,1130,63,0.56757
190,34,1000,39,0.55738
120,22,970,34,0.33333
150,26,1040,47,0.49057
140,26,1010,41,0.44068
130,18,1160,68,0.5625
100,7,1300,87,0.53846
90,13,1150,67,0.39394
120,22,1030,45,0.4
160,12,1280,84,0.75
180,30,860,17,0.36145
190,16,1240,80,0.8
90,9,1260,82,0.5
240,36,1070,52,0.75
140,19,1160,68,0.59375
140,5,1400,94,0.83333
140,16,1200,74,0.61538
140,19,1150,67,0.57576
120,8,1300,87,0.61538
110,14,1190,73,0.51852
100,13,1170,70,0.43333
100,14,1160,68,0.4375
130,13,1230,79,0.61905
240,17,1250,81,0.89474
100,14,1160,68,0.4375
130,12,1240,80,0.6
120,18,1130,63,0.48649
150,20,1160,68,0.625
100,18,970,34,0.27273
100,10,1230,79,0.47619
160,27,1070,52,0.5625
240,42,890,21,0.53165
90,6,1310,88,0.5
190,29,1080,54,0.63043
150,12,1270,83,0.70588
70,6,1320,88,0.5
210,37,900,23,0.48052
120,22,960,32,0.32353
140,6,1380,93,0.85714
170,21,1160,68,0.65625
170,18,1200,74,0.69231
90,16,1040,47,0.30189
190,6,1380,93,0.85714
110,11,1230,79,0.52381
140,15,1210,76,0.625
210,21,1200,74,0.80769
110,7,1340,90,0.7
100,18,940,29,0.25352
280,29,1150,67,0.87879
100,18,1070,52,0.375
280,32,1120,62,0.84211
170,24,1130,63,0.64865
250,36,1070,52,0.75
190,31,1050,49,0.60784
